	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
795	Traumatic subdural haemorrhage (without open intracranial wound	Subdural hemorrhage	HP:0100309	34375979	UKB	281104.0	EUR	Population CC/Q		795	traumatic subdural haemorrhage (without open intracranial wound	subdural hemorrhage	traumatic subdural haemorrhage (without open intracranial wound	subdural hemorrhage	subdural hemorrhage	HP_0100309
797	White blood cell (leukocyte) count	leukocyte count	EFO:0004308	36138231	UKB	162249.0	EUR	Population Q	Mixed Q/CC	797	white blood cell (leukocyte) count	leukocyte count	white blood cell (leukocyte) count	leukocyte count	leukocyte count	EFO_0004308
802	Bacterial infection	bacterial disease	EFO:0000771	34375979	UKB	281104.0	EUR	Population CC/Q		802	bacterial infection	bacterial disease	bacterial infection	bacterial disease	bacterial disease	EFO_0000771
804	Biochemistry Lipoprotein A	lipoprotein	EFO:0003836	34226706	UKB	348806.0	EUR	Population Q		804	biochemistry lipoprotein a	lipoprotein	biochemistry lipoprotein a	lipoprotein	lipoprotein	EFO_0003836
810	Secondarmalignant neoplasm of brain and cerebral meninges	brain neoplasm	EFO:0003833	34375979	UKB	281104.0	EUR	Population CC/Q		810	secondarmalignant neoplasm of brain and cerebral meninges	brain neoplasm	secondarmalignant neoplasm of brain and cerebral meninges	brain neoplasm	brain neoplasm	EFO_0003833
812	Perichondritis of eear	perichondritis of auricle	MONDO:0002246	34375979	UKB	281104.0	EUR	Population CC/Q		812	perichondritis of eear	perichondritis of auricle	perichondritis of eear	perichondritis of auricle	perichondritis of auricle	MONDO_0002246
813	Mumps | epidemic parotitis	Mumps virus infectious disease	EFO:0007383	34375979	UKB	281104.0	EUR	Population CC/Q		813	mumps | epidemic parotitis	mumps virus infectious disease	mumps | epidemic parotitis	mumps virus infectious disease	mumps virus infectious disease	EFO_0007383
843	D| dysmenorrhea	Dysmenorrhea	HP:0100607	34375979	UKB	281104.0	EUR	Population CC/Q		843	d| dysmenorrhea	dysmenorrhea	d| dysmenorrhea	dysmenorrhea	dysmenorrhea	HP_0100607
847	Fracture wrist | colles fracture	wrist fracture	EFO:0009515	34375979	UKB	281104.0	EUR	Population CC/Q		847	fracture wrist | colles fracture	wrist fracture	fracture wrist | colles fracture	wrist fracture	wrist fracture	EFO_0009515
849	Single deliverbcaesarean section	cesarean section	EFO:0009636	34375979	UKB	281104.0	EUR	Population CC/Q		849	single deliverbcaesarean section	cesarean section	single deliverbcaesarean section	cesarean section	cesarean section	EFO_0009636
854	Monocyte_percentage	monocyte percentage of leukocytes	EFO:0007989	37262146	UKB	409160.0	EUR	Population Q	Mixed Q/CC	854	monocyte_percentage	monocyte percentage of leukocytes	monocyte_percentage	monocyte percentage of leukocytes	monocyte percentage of leukocytes	EFO_0007989
858	Adjustment and management of cardiac pacemaker	encounter with health service for adjustment and management of implanted device	EFO:0020982	34375979	UKB	281104.0	EUR	Population CC/Q		858	adjustment and management of cardiac pacemaker	encounter with health service for adjustment and management of implanted device	adjustment and management of cardiac pacemaker	encounter with health service for adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	EFO_0020982
861	SHBG measurement	sex hormone-binding globulin measurement	EFO:0004696	37262146	UKB	365408.0	EUR	Population Q	Mixed Q/CC	861	shbg measurement	sex hormone-binding globulin measurement	sex hormone-binding globulin (shbg) measurement	sex hormone-binding globulin measurement	sex hormone-binding globulin measurement	EFO_0004696
866	Fracture of lower end of tibia (closed	tibia fracture	EFO:0003944	34375979	UKB	281104.0	EUR	Population CC/Q		866	fracture of lower end of tibia (closed	tibia fracture	fracture of lower end of tibia (closed	tibia fracture	tibia fracture	EFO_0003944
868	Other predominantlsediseases| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	281104.0	EUR	Population CC/Q		868	other predominantlsediseases| not elsewhere classified	respiratory system disease	other predominantlsediseases| not elsewhere classified	respiratory system disease	respiratory system disease	EFO_0000684
870	Coxarthrosis [arthrosis of hip])	osteoarthritis, hip	EFO:1000786	34375979	UKB	281104.0	EUR	Population CC/Q		870	coxarthrosis [arthrosis of hip])	osteoarthritis, hip	coxarthrosis [arthrosis of hip])	osteoarthritis, hip	osteoarthritis, hip	EFO_1000786
874	Non-tomultinodular goitre	nontoxic goiter	MONDO:0001658	34375979	UKB	281104.0	EUR	Population CC/Q		874	non-tomultinodular goitre	nontoxic goiter	non-tomultinodular goitre	nontoxic goiter	nontoxic goiter	MONDO_0001658
885	Biochemistry Aspartate Amino transferase	aspartate(1-)	CHEBI:35391	34226706	UKB	436275.0	EUR	Population Q		885	biochemistry aspartate amino transferase	aspartate(1-)	biochemistry aspartate amino transferase	aspartate(1-)	aspartate(1-)	CHEBI_35391
886	Biochemistry Creatinine	creatinine	CHEBI:16737	34226706	UKB	437660.0	EUR	Population Q		886	biochemistry creatinine	creatinine	biochemistry creatinine	creatinine	creatinine	CHEBI_16737
887	Acute upper respiratorinfections	common cold	EFO:0007214	34375979	UKB	281104.0	EUR	Population CC/Q		887	acute upper respiratorinfections	common cold	acute upper respiratorinfections	common cold	common cold	EFO_0007214
890	GLY measurement	glycine measurement	EFO:0009767	31367044	Finnish	8206.0	EUR	Population Q		890	gly measurement	glycine measurement	glycine (gly) measurement	glycine measurement	glycine measurement	EFO_0009767
911	Effusion of joint (ankle and foot	joint disease	EFO:1000999	34375979	UKB	281104.0	EUR	Population CC/Q		911	effusion of joint (ankle and foot	joint disease	effusion of joint (ankle and foot	joint disease	joint disease	EFO_1000999
917	Glaucoma secondarto other edisorders	hereditary glaucoma	MONDO:0018174	34375979	UKB	281104.0	EUR	Population CC/Q		917	glaucoma secondarto other edisorders	hereditary glaucoma	glaucoma secondarto other edisorders	hereditary glaucoma	hereditary glaucoma	MONDO_0018174
919	Lobular carcinoma| nos	invasive lobular carcinoma	EFO:0000553	34375979	UKB	281104.0	EUR	Population CC/Q		919	lobular carcinoma| nos	invasive lobular carcinoma	lobular carcinoma| nos	invasive lobular carcinoma	invasive lobular carcinoma	EFO_0000553
921	Chapter diseases of the musculoskeletal sand connective tissue	connective tissue disease	EFO:1001986	34375979	UKB	281104.0	EUR	Population CC/Q		921	chapter diseases of the musculoskeletal sand connective tissue	connective tissue disease	chapter diseases of the musculoskeletal sand connective tissue	connective tissue disease	connective tissue disease	EFO_1001986
922	UREA	urea	CHEBI:16199	37262146	UKB	402595.0	EUR	Population Q	Mixed Q/CC	922	urea	urea	urea	urea	urea	CHEBI_16199
927	Alkaline phosphatase (+2) measurement	alkaline phosphatase measurement	EFO:0004533	36088354	UKB	182741.0	EUR	Population Q		927	alkaline phosphatase (+2) measurement	alkaline phosphatase measurement	alkaline phosphatase (+2) measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	EFO_0004533
941	Sciatica (site unspecified	Sciatica	HP:0011868	34375979	UKB	281104.0	EUR	Population CC/Q		941	sciatica (site unspecified	sciatica	sciatica (site unspecified	sciatica	sciatica	HP_0011868
950	Atherosclerosis of arteries of e(without gangrene	atherosclerosis	EFO:0003914	34375979	UKB	281104.0	EUR	Population CC/Q		950	atherosclerosis of arteries of e(without gangrene	atherosclerosis	atherosclerosis of arteries of e(without gangrene	atherosclerosis	atherosclerosis	EFO_0003914
958	Deficiencof other b group vitamins	disorder of other vitamins and cofactors metabolism and transport	MONDO:0017760	34375979	UKB	281104.0	EUR	Population CC/Q		958	deficiencof other b group vitamins	disorder of other vitamins and cofactors metabolism and transport	deficiencof other b group vitamins	disorder of other vitamins and cofactors metabolism and transport	disorder of other vitamins and cofactors metabolism and transport	MONDO_0017760
962	Other specified disorders of cartilage (other	digestive system disease	EFO:0000405	34375979	UKB	281104.0	EUR	Population CC/Q		962	other specified disorders of cartilage (other	digestive system disease	other specified disorders of cartilage (other	digestive system disease	digestive system disease	EFO_0000405
963	Fracture of neck of femur (closed	femoral neck fracture	EFO:1001792	34375979	UKB	281104.0	EUR	Population CC/Q		963	fracture of neck of femur (closed	femoral neck fracture	fracture of neck of femur (closed	femoral neck fracture	femoral neck fracture	EFO_1001792
971	Triglycerides measurement	triglyceride measurement	EFO:0004530	36280733	Mixed	76434.0	EUR	Ascertained Q	Mixed N	971	triglycerides measurement	triglyceride measurement	triglycerides measurement	triglyceride measurement	triglyceride measurement	EFO_0004530
973	Triglyceride	triglyceride	CHEBI:17855	36280733	Mixed	76434.0	EUR	Ascertained Q	Mixed N	973	triglyceride	triglyceride	triglyceride	triglyceride	triglyceride	CHEBI_17855
974	Platelet_distribution_width	platelet component distribution width	EFO:0007984	37262146	UKB	409922.0	EUR	Population Q	Mixed Q/CC	974	platelet_distribution_width	platelet component distribution width	platelet_distribution_width	platelet component distribution width	platelet component distribution width	EFO_0007984
992	Triglycerides measurement	triglyceride measurement	EFO:0004530	31992710	UKB	46875.0	EUR	Population Q	Mixed Q/CC	992	triglycerides measurement	triglyceride measurement	triglycerides measurement	triglyceride measurement	triglyceride measurement	EFO_0004530
996	Interstitial c(chronic	interstitial cystitis	EFO:0008507	34375979	UKB	281104.0	EUR	Population CC/Q		996	interstitial c(chronic	interstitial cystitis	interstitial c(chronic	interstitial cystitis	interstitial cystitis	EFO_0008507
1002	Triglycerides (+4) measurement	triglyceride measurement	EFO:0004530	36088354	UKB	182586.0	EUR	Population Q		1002	triglycerides (+4) measurement	triglyceride measurement	triglycerides (+4) measurement	triglyceride measurement	triglyceride measurement	EFO_0004530
1003	Remnant-c measurement	remnant cholesterol measurement	EFO:0010815	31367044	Finnish	10984.0	EUR	Population Q		1003	remnant-c measurement	remnant cholesterol measurement	remnant-c measurement	remnant cholesterol measurement	remnant cholesterol measurement	EFO_0010815
1004	TOTPG measurement	phospholipid measurement	EFO:0004639	31367044	Finnish	10970.0	EUR	Population Q		1004	totpg measurement	phospholipid measurement	total phosphoglycerides (totpg) measurement	phospholipid measurement	phospholipid measurement	EFO_0004639
1005	MUFA measurement	fatty acid measurement	EFO:0005110	31367044	Finnish	8751.0	EUR	Population Q		1005	mufa measurement	fatty acid measurement	monounsaturated fatty acids (mufa) measurement	fatty acid measurement	fatty acid measurement	EFO_0005110
1006	VLDL-C measurement	very low density lipoprotein particle size measurement	EFO:0008594	31367044	Finnish	10984.0	EUR	Population Q		1006	vldl-c measurement	very low density lipoprotein particle size measurement	very low density lipoprotein (vldl)-c measurement	very low density lipoprotein particle size measurement	very low density lipoprotein particle size measurement	EFO_0008594
1007	PUFA measurement	polyunsaturated fatty acid measurement	EFO:0010733	31367044	Finnish	8751.0	EUR	Population Q		1007	pufa measurement	polyunsaturated fatty acid measurement	polyunsaturated fatty acids (pufa) measurement	polyunsaturated fatty acid measurement	polyunsaturated fatty acid measurement	EFO_0010733
1008	PC	pachyonychia congenita	MONDO:0016471	31367044	Finnish	10970.0	EUR	Population Q		1008	pc	pachyonychia congenita	phosphatidylcholine (pc)	pachyonychia congenita	pachyonychia congenita	MONDO_0016471
1018	Triglycerides (+1) measurement	triglyceride measurement	EFO:0004530	36088354	UKB	182586.0	EUR	Population Q		1018	triglycerides (+1) measurement	triglyceride measurement	triglycerides (+1) measurement	triglyceride measurement	triglyceride measurement	EFO_0004530
1024	HDL2-C measurement	HDL cholesterol change measurement	EFO:0007805	31367044	Finnish	10984.0	EUR	Population Q		1024	hdl2-c measurement	hdl cholesterol change measurement	high density lipoprotein (hdl)2-c measurement	high density lipoprotein (hdl) cholesterol change measurement	hdl cholesterol change measurement	EFO_0007805
1036	Hereditary|genetic haematological disorder	genetic disorder	EFO:0000508	34375979	UKB	281104.0	EUR	Population CC/Q		1036	hereditary|genetic haematological disorder	genetic disorder	hereditary|genetic haematological disorder	genetic disorder	genetic disorder	EFO_0000508
1042	Miandepressive disorder	schizoaffective disorder	EFO:0005411	34375979	UKB	281104.0	EUR	Population CC/Q		1042	miandepressive disorder	schizoaffective disorder	miandepressive disorder	schizoaffective disorder	schizoaffective disorder	EFO_0005411
1048	CIT measurement	citrate measurement	EFO:0010114	31367044	Finnish	10973.0	EUR	Population Q		1048	cit measurement	citrate measurement	citrate (cit) measurement	citrate measurement	citrate measurement	EFO_0010114
1050	Chronic kidnedisease| stage 5	stage 5 chronic kidney disease	EFO:0009909	34375979	UKB	281104.0	EUR	Population CC/Q		1050	chronic kidnedisease| stage 5	stage 5 chronic kidney disease	chronic kidnedisease| stage 5	stage 5 chronic kidney disease	stage 5 chronic kidney disease	EFO_0009909
1051	Ulcerative (chronic enterocolitis	ulcerative proctosigmoiditis	EFO:1001223	34375979	UKB	281104.0	EUR	Population CC/Q		1051	ulcerative (chronic enterocolitis	ulcerative proctosigmoiditis	ulcerative (chronic enterocolitis	ulcerative proctosigmoiditis	ulcerative proctosigmoiditis	EFO_1001223
1054	Cystatin_c measurement	cystatin C measurement	EFO:0004617	37262146	UKB	402826.0	EUR	Population Q	Mixed Q/CC	1054	cystatin_c measurement	cystatin c measurement	cystatin_c measurement	cystatin c measurement	cystatin c measurement	EFO_0004617
1059	Total_protein measurement	total blood protein measurement	EFO:0004536	37262146	UKB	368534.0	EUR	Population Q	Mixed Q/CC	1059	total_protein measurement	total blood protein measurement	total_protein measurement	total blood protein measurement	total blood protein measurement	EFO_0004536
1066	Other chronic obstructive pulmonardisease	Chronic Obstructive Asthma	EFO:0009759	34375979	UKB	281104.0	EUR	Population CC/Q		1066	other chronic obstructive pulmonardisease	chronic obstructive asthma	other chronic obstructive pulmonardisease	chronic obstructive asthma	chronic obstructive asthma	EFO_0009759
1071	General sand signs	vital signs	EFO:0004303	34375979	UKB	281104.0	EUR	Population CC/Q		1071	general sand signs	vital signs	general sand signs	vital signs	vital signs	EFO_0004303
1073	Total protein measurement	total blood protein measurement	EFO:0004536	36088354	UKB	167930.0	EUR	Population Q		1073	total protein measurement	total blood protein measurement	total protein measurement	total blood protein measurement	total blood protein measurement	EFO_0004536
1083	Aortic aneurand dissection	Aortic dissection	HP:0002647	34375979	UKB	281104.0	EUR	Population CC/Q		1083	aortic aneurand dissection	aortic dissection	aortic aneurand dissection	aortic dissection	aortic dissection	HP_0002647
1087	Secondarmalignant neoplasm of retroperitoneum and peritoneum	retroperitoneal cancer	EFO:0007466	34375979	UKB	281104.0	EUR	Population CC/Q		1087	secondarmalignant neoplasm of retroperitoneum and peritoneum	retroperitoneal cancer	secondarmalignant neoplasm of retroperitoneum and peritoneum	retroperitoneal cancer	retroperitoneal cancer	EFO_0007466
